Chapter,Number,Source,Value,Media,A,B,C,D,CorrectAnswer,Explanation
Objective-4,1,CH4_SEIDL,"Mila wants to generate a unique digital fingerprint for a file, and needs to choose between a checksum and a hash. Which option should she choose and why should she choose it? ",,"A. A hash, because it is unique to the file  "," B. A checksum, because it verifies the contents of the file  "," C. A hash, because it can be reversed to validate the file "," D. A checksum, because it is less prone to collisions than a hash  ",A,"Mila should select a hash because a hash is designed to be unique to each possible input.  That means that multiple files could have the same checksum value, whereas a hashing algorithm will be unique for each file that it is run against."
Objective-4,2,CH4_SEIDL,Which of the following would prevent a user from installing a program on a company-owned mobile device?,,A. An allow list , B. A deny list  , C. ACL , D. HIDS    ,A,"Allow lists are lists of approved software. Software can only be installed if it is on an allow list. Deny lists block specific applications, but they cannot account for every possible malicious application. Access control lists (ACLs) determine who can access a resource.  A host intrusion detection system (HIDS) does not prevent software from being installed."
Objective-4,3,CH4_SEIDL,Liam is responsible for monitoring security events in his company. He wants to see how diverse events may connect using his security information and event management (SIEM).  He is interested in identifying different indicators of compromise that may point to the same breach. Which of the following would be most helpful for him to implement? ,,A. NIDS , B. PKI  , C. A correlation dashboard , D. A trend dashboard    ,C,"Correlation dashboards are used to aggregate events and to seek out connections. In some cases, this is done with advanced analytic algorithms, including artificial intelligence (AI) and machine learning (ML). A network intrusion detection system (NIDS) would be helpful but will not (by itself) necessarily correlate events. A public key infrastructure (PKI) handles certificates, not correlation and visibility of security events. Trend dashboards would show how things are going and which way statistics and information are moving."
Objective-4,4,CH4_SEIDL,"Emily wants to capture HTTPS packets using tcpdump. If the service is running on its default port and her Ethernet adapter is eth0, which tcpdump command should she use? ",,A. tcpdump eth0 -proto https , B. tcpdump -i eth0 -proto https  , C. tcpdump tcp https eth0 , D. tcpdump -i eth0 tcp port 443    ,D,"Using tcpdump with flags like -i to set the interface, tcp to set the protocol, and port to set the port will capture exactly the traffic Emily needs to capture. Port 443 is the default HTTPS port. There is no -proto flag for tcpdump."
Objective-4,5,CH4_SEIDL,"Mila gives her team a scenario, and then asks them questions about how they would respond, what issues they expect they might encounter, and how they would handle those issues. What type of exercise has she conducted? ",,A. A tabletop exercise , B. A walk-through  , C. A simulation , D. A drill    ,A,"Tabletop exercises are used to talk through a process. Unlike walk-throughs, which focus on step-by-step review of an incident, Mila will focus more on how her team responds and on learning from those answers. A tabletop exercise can involve gaming out a situation. A simulation actually emulates an event or incident, either on a small or a large scale. Drills are not defined as part of the Security+ exam outline."
Objective-4,6,CH4_SEIDL,Murali is preparing to acquire data from various devices and systems that are targets in a forensic investigation. Which of the following devices is the least volatile according to the order of volatility? ,,A. Backups , B. CPU cache  , C. Local disk , D. RAM    ,A,"Backups are considered to be the least volatile type of storage since they change at a much slower pace and, in fact, may be intentionally retained for long periods of time without changing. In this list, CPU cache will change the most frequently, then RAM, then local disk contents."
Objective-4,7,CH4_SEIDL,Henry has been asked for vulnerability scan results by an incident responder. He is curious to know why the responder needs scan results. What answer would you provide to him to explain why scan results are needed and are useful?,,A. The scans will show the programs the attackers used. , B. The scans will show the versions of software installed before the attack.  , C. Vulnerable services will provide clues about what the attackers may have targeted. , D. The scans will show where firewalls and other network devices were in place to help with incident analysis.     ,C,"Incident responders know that scan results can show vulnerable systems and services, providing clues about how attackers may have obtained access to systems. The scans will not show the programs the attackers used but may show services that they have enabled or changed. The scans will show the versions of software installed before the attack, but that information is only useful if the attackers either upgraded or changed the software or the software was vulnerable, making this a less accurate and useful answer. Finally, the scans may show where network security devices are, but that information should be available to the incident response team without trying to figure it out from scans."
Objective-4,8,CH4_SEIDL,What phase of the incident response process should be placed at point A in the following image? Lessons Learned A Incident Response Process Eradication 9. Preparation Identification Containment,,A. Simulations , B. Review  , C. Recovery , D. Patching    ,C,"After eradication of the issue has been completed, recovery can begin. Recovery can include restoration of services and a return to normal operations."
Objective-4,9,CH4_SEIDL,Nick is reviewing commands run on a Windows 10 system and discovers that the route command was run with the -p flag. What occurred?  ,,A. Routes were discovered using a ping command. , B. The route’s path will be displayed. , C. A route was added that will persist between boots. , D. A route was added that will use the path listed in the command.    ,C,"The -p flag adds a persistent route when combined with the ADD command. Persistent routes will remain in the routing table between boots. By default, they are cleared at each boot. An attacker may choose to use this to help with an on-path (man-in-the-middle) attack."
Objective-4,10,CH4_SEIDL,Lucca wants to acquire open source intelligence information using an automated tool that can leverage search engines and tools like Shodan. Which of the following tools should he select?,,A. curl , B. hping , C. netcat , D. theHarvester    ,D,"Of the options provided, only theHarvester is an open source intelligence tool. Curl is a tool used to transfer data, hping is a tool that is frequently used to build custom packets and to perform packet analyzer functions, and netcat is a utility that allows you to read and write to network connections, making it a broadly used tool for pen testers and attackers who need to transfer data using a small, capable utility."
